,0,1,2,3,4,5,6,7,8,9,10
73,1949,MLB,NL *,,1st,97,57,.630,—,Lost World Series (Yankees) 4–1 *,Jackie Robinson (MVP) Don Newcombe (ROY)
74,1950,MLB,NL,,2nd,89,65,.578,2,,
75,1951,MLB,NL,,2nd,97,60,.618,1,,Roy Campanella (MVP)
76,1952,MLB,NL *,,1st,96,57,.627,—,Lost World Series (Yankees) 4–3 *,Joe Black (ROY)
77,1953,MLB,NL *,,1st,105,49,.682,—,Lost World Series (Yankees) 4–2 *,Roy Campanella (MVP) Jim Gilliam (ROY)
78,1954,MLB,NL,,2nd,92,62,.597,5,,
79,1955,MLB ‡,NL *,,1st,98,55,.641,—,Won World Series (Yankees) 4–3 ‡,Roy Campanella (MVP) Johnny Podres (WS MVP)
80,1956,MLB,NL *,,1st,93,61,.604,—,Lost World Series (Yankees) 4–3 *,"Don Newcombe (MVP, CYA)"
81,1957,MLB,NL,,3rd,84,70,.545,11,,
82,Los Angeles Dodgers,,,,,,,,,,
83,1958,MLB,NL,,7th,71,83,.461,21,,
84,1959,MLB ‡,NL *,,1st,88,68,.564,—,Won World Series (White Sox) 4–2 ‡,Larry Sherry (WS MVP)
85,1960,MLB,NL,,4th,82,72,.532,13,,Frank Howard (ROY)
86,1961,MLB,NL,,2nd,89,65,.578,4,,
87,1962,MLB,NL,,2nd,102,63,.618,1,,Maury Wills (MVP) Don Drysdale (CYA)
88,1963,MLB ‡,NL *,,1st,99,63,.611,—,Won World Series (Yankees) 4–0 ‡,"Sandy Koufax (MVP, CYA, TC, WS MVP)"
89,1964,MLB,NL,,7th,80,82,.494,13,,
90,1965,MLB ‡,NL *,,1st,97,65,.599,—,Won World Series (Twins) 4–3 ‡,"Sandy Koufax (CYA, TC, WS MVP) Jim Lefebvre (ROY)"
91,1966,MLB,NL *,,1st,95,67,.586,—,Lost World Series (Orioles) 4–0 *,"Sandy Koufax (CYA, TC)"
92,1967,MLB,NL,,8th,73,89,.451,28½,,
93,1968,MLB,NL,,8th,76,86,.469,21,,
94,1969,MLB,NL,West,4th,85,77,.525,8,,Ted Sizemore (ROY)
95,1970,MLB,NL,West,2nd,87,74,.540,14½,,
96,1971,MLB,NL,West,2nd,89,73,.549,1,,
97,1972,MLB,NL,West,3rd,85,70,.548,10½,,
98,1973,MLB,NL,West,2nd,95,66,.590,3½,,
99,1974,MLB,NL *,West ^,1st,102,60,.630,—,Won NLCS (Pirates) 3–1 Lost World Series (Athletics) 4–1 *,Steve Garvey (MVP) Mike Marshall (CYA)
100,1975,MLB,NL,West,2nd,88,74,.543,20,,
101,1976,MLB,NL,West,2nd,92,70,.568,10,,
102,1977,MLB,NL *,West ^,1st,98,64,.605,—,Won NLCS (Phillies) 3–1 Lost World Series (Yankees) 4–2 *,
103,1978,MLB,NL *,West ^,1st,95,67,.586,—,Won NLCS (Phillies) 3–1 Lost World Series (Yankees) 4–2 *,
104,1979,MLB,NL,West,3rd,79,83,.488,11½,,Rick Sutcliffe (ROY)
105,1980,MLB,NL,West,2nd,92,71,.564,1,,Steve Howe (ROY)
106,1981,MLB ‡,NL *,West ^,1st,36,21,.632,—,Won NLDS (Astros) 3–2 Won NLCS (Expos) 3–2 Won World Series (Yankees) 4–2 ‡,"Fernando Valenzuela (CYA, ROY) Ron Cey (co-WS MVP) Pedro Guerrero (co-WS MVP) Steve Yeager (co-WS MVP)"
107,4th,27,26,.509,6,,,,,,
108,1982,MLB,NL,West,2nd,88,74,.543,1,,Steve Sax (ROY)
109,1983,MLB,NL,West ^,1st,91,71,.562,—,Lost NLCS (Phillies) 3–1,Tommy Lasorda (MOY)
110,1984,MLB,NL,West,4th,79,83,.488,13,,
111,1985,MLB,NL,West ^,1st,95,67,.586,—,Lost NLCS (Cardinals) 4–2,
112,1986,MLB,NL,West,5th,73,89,.451,23,,
113,1987,MLB,NL,West,4th,73,89,.451,17,,
114,1988,MLB ‡,NL *,West ^,1st,94,67,.584,—,Won NLCS (Mets) 4–3 Won World Series (Athletics) 4–1 ‡,"Kirk Gibson (MVP) Orel Hershiser (CYA, WS MVP) Tommy Lasorda (MOY)"
115,1989,MLB,NL,West,4th,77,83,.481,14,,
116,1990,MLB,NL,West,2nd,86,76,.531,5,,
117,1991,MLB,NL,West,2nd,93,69,.574,1,,
118,1992,MLB,NL,West,6th,63,99,.389,35,,Eric Karros (ROY)
119,1993,MLB,NL,West,4th,81,81,.500,23,,Mike Piazza (ROY)
120,1994,MLB,NL,West,1st,58,56,.509,—,Playoffs cancelled,Raúl Mondesí (ROY)
121,1995,MLB,NL,West ^,1st,78,66,.542,—,Lost NLDS (Reds) 3–0,Hideo Nomo (ROY)
122,1996,MLB,NL,West,2nd ¤,90,72,.556,1,Lost NLDS (Braves) 3–0,Todd Hollandsworth (ROY)
123,1997,MLB,NL,West,2nd,88,74,.543,2,,
124,1998,MLB,NL,West,3rd,83,79,.512,15,,
125,1999,MLB,NL,West,3rd,77,85,.475,23,,
126,2000,MLB,NL,West,2nd,86,76,.531,11,,
127,2001,MLB,NL,West,3rd,86,76,.531,6,,
128,2002,MLB,NL,West,3rd,92,70,.568,6,,
129,2003,MLB,NL,West,2nd,85,77,.525,15½,,Éric Gagné (CYA)
130,2004,MLB,NL,West ^,1st,93,69,.574,—,Lost NLDS (Cardinals) 3–1,
131,2005,MLB,NL,West,4th,71,91,.438,11,,
132,2006,MLB,NL,West,2nd ¤,88,74,.543,—,Lost NLDS (Mets) 3–0,
133,2007,MLB,NL,West,4th,82,80,.506,8,,
134,2008,MLB,NL,West ^,1st,84,78,.519,—,Won NLDS (Cubs) 3–0 Lost NLCS (Phillies) 4–1,
135,2009,MLB,NL,West ^,1st,95,67,.586,—,Won NLDS (Cardinals) 3–0 Lost NLCS (Phillies) 4–1,
136,2010,MLB,NL,West,4th,80,82,.494,12,,
137,2011,MLB,NL,West,3rd,82,79,.509,11½,,"Clayton Kershaw (CYA, TC)"
138,2012,MLB,NL,West,2nd,86,76,.531,8,,
139,2013,MLB,NL,West ^,1st,92,70,.568,—,Won NLDS (Braves) 3–1 Lost NLCS (Cardinals) 4–2,Clayton Kershaw (CYA)
140,2014,MLB,NL,West ^,1st,94,68,.580,—,Lost NLDS (Cardinals) 3–1,"Clayton Kershaw (MVP, CYA)"
141,2015,MLB,NL,West ^,1st,92,70,.568,—,Lost NLDS (Mets) 3–2,
142,2016,MLB,NL,West ^,1st,91,71,.562,—,Won NLDS (Nationals) 3–2 Lost NLCS (Cubs) 4–2,Corey Seager (ROY) Dave Roberts (MOY)
143,2017,MLB,NL *,West ^,1st,104,58,.642,—,Won NLDS (Diamondbacks) 3–0 Won NLCS (Cubs) 4–1 Lost World Series (Astros) 4–3 *,Cody Bellinger (ROY)
